Candidate A,Candidate B,Candidate C,Candidate D,Candidate E,Candidate F
REJECT,SOMEWHAT GOOD,EXCELLENT,EXCELLENT,EXCELLENT,GOOD
SOMEWHAT GOOD,SOMEWHAT GOOD,SOMEWHAT GOOD,PASSABLE,POOR,EXCELLENT
PASSABLE,VERY GOOD,PASSABLE,PASSABLE,SOMEWHAT GOOD,REJECT
SOMEWHAT GOOD,GOOD,EXCELLENT,GOOD,POOR,EXCELLENT
VERY GOOD,REJECT,EXCELLENT,SOMEWHAT GOOD,GOOD,EXCELLENT
VERY GOOD,POOR,GOOD,REJECT,VERY GOOD,EXCELLENT
VERY GOOD,EXCELLENT,GOOD,GOOD,REJECT,POOR
PASSABLE,VERY GOOD,EXCELLENT,EXCELLENT,EXCELLENT,SOMEWHAT GOOD
SOMEWHAT GOOD,POOR,PASSABLE,PASSABLE,REJECT,EXCELLENT
REJECT,PASSABLE,VERY GOOD,GOOD,POOR,PASSABLE
REJECT,POOR,VERY GOOD,PASSABLE,EXCELLENT,REJECT
PASSABLE,EXCELLENT,SOMEWHAT GOOD,VERY GOOD,POOR,SOMEWHAT GOOD
SOMEWHAT GOOD,VERY GOOD,VERY GOOD,EXCELLENT,REJECT,EXCELLENT
GOOD,VERY GOOD,POOR,SOMEWHAT GOOD,SOMEWHAT GOOD,GOOD
REJECT,VERY GOOD,SOMEWHAT GOOD,VERY GOOD,SOMEWHAT GOOD,REJECT
SOMEWHAT GOOD,GOOD,EXCELLENT,PASSABLE,EXCELLENT,PASSABLE
POOR,GOOD,VERY GOOD,EXCELLENT,REJECT,POOR
POOR,SOMEWHAT GOOD,VERY GOOD,POOR,GOOD,EXCELLENT
REJECT,VERY GOOD,POOR,REJECT,PASSABLE,GOOD
GOOD,GOOD,POOR,REJECT,GOOD,POOR
VERY GOOD,EXCELLENT,EXCELLENT,REJECT,EXCELLENT,GOOD
PASSABLE,VERY GOOD,PASSABLE,GOOD,REJECT,SOMEWHAT GOOD
VERY GOOD,REJECT,POOR,VERY GOOD,POOR,POOR
REJECT,VERY GOOD,GOOD,POOR,POOR,VERY GOOD
VERY GOOD,VERY GOOD,REJECT,SOMEWHAT GOOD,POOR,REJECT
PASSABLE,SOMEWHAT GOOD,PASSABLE,REJECT,POOR,PASSABLE
PASSABLE,POOR,POOR,VERY GOOD,EXCELLENT,GOOD
SOMEWHAT GOOD,PASSABLE,SOMEWHAT GOOD,VERY GOOD,VERY GOOD,SOMEWHAT GOOD
VERY GOOD,GOOD,VERY GOOD,PASSABLE,VERY GOOD,EXCELLENT
SOMEWHAT GOOD,EXCELLENT,REJECT,REJECT,GOOD,GOOD
VERY GOOD,EXCELLENT,REJECT,POOR,REJECT,POOR
REJECT,EXCELLENT,GOOD,GOOD,GOOD,VERY GOOD
GOOD,GOOD,SOMEWHAT GOOD,PASSABLE,GOOD,SOMEWHAT GOOD
EXCELLENT,EXCELLENT,SOMEWHAT GOOD,GOOD,REJECT,SOMEWHAT GOOD
SOMEWHAT GOOD,PASSABLE,POOR,SOMEWHAT GOOD,GOOD,POOR
SOMEWHAT GOOD,POOR,PASSABLE,SOMEWHAT GOOD,GOOD,SOMEWHAT GOOD
GOOD,REJECT,POOR,EXCELLENT,SOMEWHAT GOOD,PASSABLE
REJECT,POOR,SOMEWHAT GOOD,PASSABLE,PASSABLE,VERY GOOD
VERY GOOD,VERY GOOD,GOOD,PASSABLE,SOMEWHAT GOOD,SOMEWHAT GOOD
SOMEWHAT GOOD,EXCELLENT,GOOD,POOR,PASSABLE,POOR
REJECT,SOMEWHAT GOOD,VERY GOOD,VERY GOOD,GOOD,PASSABLE
REJECT,VERY GOOD,VERY GOOD,PASSABLE,POOR,SOMEWHAT GOOD
REJECT,VERY GOOD,VERY GOOD,PASSABLE,POOR,SOMEWHAT GOOD
